hour,PC1,PC2,PC3,PC4
0,-0.018976526,0.18457948,-0.19972444,-0.124778494
1,-0.017451743,0.18012895,-0.19214462,-0.14477146
2,-0.01370939,0.1809098,-0.19559628,-0.16768058
3,-0.009145838,0.18508513,-0.19076385,-0.17274566
4,-0.004601995,0.19533406,-0.17953768,-0.16971102
5,-0.00063455175,0.20283936,-0.16748792,-0.16727145
6,0.054217584,0.21848913,-0.07670865,-0.21634722
7,0.1638699,0.21254584,0.108664185,-0.35440293
8,0.24570249,0.14949808,0.031589717,-0.3334542
9,0.27327266,0.055416506,-0.06121809,-0.22706684
10,0.24590851,-0.01102329,-0.13013,-0.0749869
11,0.29188174,-0.06326786,-0.22343561,0.0031167108
12,0.3331165,-0.10509284,-0.28012562,0.13142882
13,0.37903157,-0.14176987,-0.2785373,0.2188924
14,0.3641185,-0.1302667,-0.13583684,0.2077738
15,0.3433911,-0.076539285,0.13278675,0.056136794
16,0.30495274,-0.012065671,0.3520483,-0.066686235
17,0.23155731,0.0918601,0.3792712,-0.072306454
18,0.14770469,0.20262645,0.34561455,0.009297105
19,0.10535077,0.34554976,0.25748152,0.18767765
20,0.054965593,0.4491808,0.05930691,0.41257963
21,-0.0069982875,0.3677841,-0.12000019,0.3906115
22,-0.0197615,0.25153863,-0.1343756,0.16493596
23,-0.02032953,0.20353027,-0.13159996,0.038003847
