,0
tso_forecast_mw,2291.5286348083027
hour_sin,67.05738011893858
hour_local,54.55858051897712
doy_sin,49.0175466781319
load_mean_7d,45.72635245804625
day_of_week,44.66189173643185
temperature_2m,44.4831666830411
doy_cos,38.96250191212968
load_lag_168h,32.69710221668322
load_lag_504h,32.135559611102316
load_lag_48h,30.685294593951408
cooling_degrees,29.7215920004725
shortwave_radiation,29.33503060439437
load_lag_672h,28.51839296349265
hour_cos,28.481548753822796
heating_degrees,27.435649997745337
wind_speed_10m,26.14343515274823
load_lag_72h,23.649006150984746
month,22.476509400339996
relative_humidity_2m,21.08040616705223
load_lag_336h,15.997930926330742
cloud_cover,13.705174321914363
is_holiday,6.439612946847956
is_bridge_day,1.915374634940626
is_weekend,0.0
