feature,mean_abs_shap_eur
solar_fcst_mw,18.699358811033164
price_lag_1d,14.102102240682312
wind_on_fcst_mw,8.37654283166577
tso_forecast_mw,7.922656356525099
price_lag_7d,6.071981256115056
price_d1_h23,3.7109729080384732
day_of_week,2.932696132397141
price_lag_2d,2.774954624329924
price_d1_h22,1.9387561893355671
hour_local,0.9814543272564852
price_lag_3d,0.9474232445676705
price_mean_7d,0.912726398802057
doy_cos,0.8319670014812149
doy_sin,0.7777566272305857
price_d1_h15,0.752548035328582
price_d1_h16,0.7375056091251213
load_lag_48h,0.5926029707701803
load_lag_168h,0.5811378016380996
is_holiday,0.5582677370052218
load_lag_504h,0.5457376716771667
price_d1_h08,0.5442005848524704
price_d1_h09,0.5090162424646768
load_lag_672h,0.500538449051267
price_d1_h10,0.49010848366077875
load_mean_7d,0.47890108193398356
load_lag_336h,0.4761030589348004
hour_cos,0.46053725435203324
price_d1_h06,0.438655283264004
price_d1_h20,0.4371148211240112
price_d1_h17,0.4100831437993322
price_d1_h12,0.384040244451164
price_d1_h14,0.3799057846138673
price_d1_h13,0.3765739266344276
price_d1_h00,0.36060809897050616
hour_sin,0.34816358751908627
price_d1_h19,0.33992189821498153
price_d1_h01,0.3224675365510232
price_d1_h18,0.304920381897313
price_d1_h02,0.27342595609215953
price_d1_h21,0.2706996463858495
load_lag_72h,0.26848106913416414
is_weekend,0.26193838324772567
price_d1_h11,0.2298349577806995
price_d1_h07,0.22420589921741585
price_d1_h05,0.22028003822415396
price_d1_h03,0.21078028557552966
price_d1_h04,0.18744088745190518
month,0.17787970961453983
wind_off_fcst_mw,0.09566504718179406
is_bridge_day,0.02313938739649144
